# v	kana	romanization

ア	x:ja-Kat+Latn	a
イ	x:ja-Kat+Latn	i
ウ	x:ja-Kat+Latn	u
エ	x:ja-Kat+Latn	e
オ	x:ja-Kat+Latn	o
カ	x:ja-Kat+Latn	ka
ガ	x:ja-Kat+Latn	ga
キ	x:ja-Kat+Latn	ki
キャ	x:ja-Kat+Latn	kya
キュ	x:ja-Kat+Latn	kyu
キョ	x:ja-Kat+Latn	kyo
ギ	x:ja-Kat+Latn	gi
ギャ	x:ja-Kat+Latn	gya
ギュ	x:ja-Kat+Latn	gyu
ギョ	x:ja-Kat+Latn	gyo
ク	x:ja-Kat+Latn	ku
グ	x:ja-Kat+Latn	gu
ケ	x:ja-Kat+Latn	ke
ゲ	x:ja-Kat+Latn	ge
コ	x:ja-Kat+Latn	ko
ゴ	x:ja-Kat+Latn	go
サ	x:ja-Kat+Latn	sa
ザ	x:ja-Kat+Latn	za
シ	x:ja-Kat+Latn	shi
シャ	x:ja-Kat+Latn	sha
シュ	x:ja-Kat+Latn	shu
ショ	x:ja-Kat+Latn	sho
ジ	x:ja-Kat+Latn	ji
ジャ	x:ja-Kat+Latn	ja
ジュ	x:ja-Kat+Latn	ju
ジョ	x:ja-Kat+Latn	jo
ス	x:ja-Kat+Latn	su
ズ	x:ja-Kat+Latn	zu
セ	x:ja-Kat+Latn	se
ゼ	x:ja-Kat+Latn	ze
ソ	x:ja-Kat+Latn	so
ゾ	x:ja-Kat+Latn	zo
タ	x:ja-Kat+Latn	ta
ダ	x:ja-Kat+Latn	da
ダー	x:ja-Kat+Latn	dah
チ	x:ja-Kat+Latn	chi
チャ	x:ja-Kat+Latn	cha
チュ	x:ja-Kat+Latn	chu
チョ	x:ja-Kat+Latn	cho
ヂ	x:ja-Kat+Latn	ji
ヂュ	x:ja-Kat+Latn	ju
ッ	x:ja-Kat+Latn	q
ット	x:ja-Kat+Latn	tto
ツ	x:ja-Kat+Latn	tsu
テ	x:ja-Kat+Latn	te
デ	x:ja-Kat+Latn	de
ト	x:ja-Kat+Latn	to
ド	x:ja-Kat+Latn	do
ナ	x:ja-Kat+Latn	na
ニ	x:ja-Kat+Latn	ni
ニャ	x:ja-Kat+Latn	nya
ニュ	x:ja-Kat+Latn	nyu
ニョ	x:ja-Kat+Latn	nyo
ヌ	x:ja-Kat+Latn	nu
ネ	x:ja-Kat+Latn	ne
ノ	x:ja-Kat+Latn	no
ハ	x:ja-Kat+Latn	ha
バ	x:ja-Kat+Latn	ba
ヒ	x:ja-Kat+Latn	hi
ヒャ	x:ja-Kat+Latn	hya
ヒュ	x:ja-Kat+Latn	hyu
ヒョ	x:ja-Kat+Latn	hyo
ビ	x:ja-Kat+Latn	bi
ビャ	x:ja-Kat+Latn	bya
ビュ	x:ja-Kat+Latn	byu
ビョ	x:ja-Kat+Latn	byo
フ	x:ja-Kat+Latn	fu
ブ	x:ja-Kat+Latn	bu
ヘ	x:ja-Kat+Latn	he
ベ	x:ja-Kat+Latn	be
ペ	x:ja-Kat+Latn	pe
ペー	x:ja-Kat+Latn	pei
ホ	x:ja-Kat+Latn	ho
ボ	x:ja-Kat+Latn	bo
ポ	x:ja-Kat+Latn	po
マ	x:ja-Kat+Latn	ma
ミ	x:ja-Kat+Latn	mi
ミャ	x:ja-Kat+Latn	mya
ミュ	x:ja-Kat+Latn	myu
ミョ	x:ja-Kat+Latn	myo
ム	x:ja-Kat+Latn	mu
メ	x:ja-Kat+Latn	me
メー	x:ja-Kat+Latn	mei
モ	x:ja-Kat+Latn	mo
ャ	x:ja-Kat+Latn	ya
ヤ	x:ja-Kat+Latn	ya
ユ	x:ja-Kat+Latn	yu
ヨ	x:ja-Kat+Latn	yo
ラ	x:ja-Kat+Latn	ra
リ	x:ja-Kat+Latn	ri
リャ	x:ja-Kat+Latn	rya
リュ	x:ja-Kat+Latn	ryu
リョ	x:ja-Kat+Latn	ryo
ル	x:ja-Kat+Latn	ru
レ	x:ja-Kat+Latn	re
ロ	x:ja-Kat+Latn	ro
ワ	x:ja-Kat+Latn	wa
ン	x:ja-Kat+Latn	n
ー	x:ja-Kat+Latn

############################################################################################################
############################################################################################################
############################################################################################################
############################################################################################################
############################################################################################################
############################################################################################################
############################################################################################################
############################################################################################################
############################################################################################################
############################################################################################################


あ	x:ja-Hir+Latn	a
い	x:ja-Hir+Latn	i
う	x:ja-Hir+Latn	u
え	x:ja-Hir+Latn	e
お	x:ja-Hir+Latn	o
か	x:ja-Hir+Latn	ka
