


# This file contains the master records for the reading & meaning fields
# of the dictionary. For a better overview and to make it easier to obtain
# non-contradictory data for character variants, it is organized by variant
# groups, with the biggest groups coming first and the characters without
# variants (within the selected gamut of slightly shy of 10000 characters)
# come last. This grouping is a mere convenience; should variant groups be
# modified, changes should be manually made to this file.

# A number of variant groups has been marked `@sync`, followed by the characters
# in that group. In synchronized character groups, the first character in the
# argument to `@sync` is the lead character, which means that all fields for
# the other characters inherit the value given for the lead character in the
# respective field, unless an explicit value is given for the variant. Such
# an explicit value can be given literally or symbolically; where no value should
# appear, the field value has been set to `@null`.

# ⒸⒿⓀⓉⒽⓂ

# Since combining diacritics often don't display well and are difficult to copy-and-paste
# correctly, readings with the pinyin vowel ê have been transcribed with numerical tones
# as ê1, ê2, ê3, ê4.


#------------------------------------------------------------------------------------------------------------
# 表意文字空格
# removed as it is punctuation
#	@glyphs	&#x3000;
#   @glyphs	　
#   u-cjk-sym/3000	　	gloss:(space used in typesetting)


#------------------------------------------------------------------------------------------------------------
# 中日異字混淆

@glyphs	浜
u-cjk/6d5c	浜	py:bāng
u-cjk/6d5c	浜	ka:ヒン
u-cjk/6d5c	浜	hi:はま
u-cjk/6d5c	浜	hg:빈
u-cjk/6d5c	浜	gloss:creek, stream; beach, sea coast

@glyphs	濱滨瀕濒
u-cjk/6ff1	濱	py:bīn
u-cjk/6ee8	滨	py:bīn
u-cjk/7015	瀕	py:bīn, pín
u-cjk/6fd2	濒	py:bīn
u-cjk/6ff1	濱	ka:ヒン
u-cjk/7015	瀕	ka:ヒン
u-cjk/6ff1	濱	hi:はま
u-cjk/7015	瀕	hi:ほとり
u-cjk/6ff1	濱	hg:빈
u-cjk/7015	瀕	hg:빈
u-cjk/6ff1	濱	gloss:beach, sea coast; river bank
u-cjk/6ee8	滨	gloss:beach, sea coast; river bank
u-cjk/7015	瀕	gloss:approach, be on verge of; near
u-cjk/6fd2	濒	gloss:approach, be on verge of; near

@glyphs	沉沈瀋
u-cjk/6c89	沉	py:chén
u-cjk/6c88	沈	py:chén, shěn
u-cjk/700b	瀋	py:shěn
u-cjk/6c89	沉	ka:チン, ジン
u-cjk/6c88	沈	ka:チン, ジン
u-cjk/700b	瀋	ka:シン
u-cjk/6c89	沉	hi:しず·(む|める)
u-cjk/6c88	沈	hi:しず·(む|める)
u-cjk/700b	瀋	hi:しる
u-cjk/6c89	沉	hg:침, 심
u-cjk/6c88	沈	hg:침, 심
u-cjk/700b	瀋	hg:심
u-cjk/6c89	沉	gloss:sink, submerge; addicted to
u-cjk/6c88	沈	gloss:sink, submerge; addicted to
u-cjk/700b	瀋	gloss:juice; liquid; water; leak, pour

@glyphs	缶罐鑵
u-cjk/7f36	缶	py:fǒu
u-cjk/7f50	罐	py:guàn
u-cjk/9475	鑵	py:guàn
u-cjk/7f36	缶	ka:カン
u-cjk/7f50	罐	ka:カン
u-cjk/9475	鑵	ka:カン
u-cjk/7f36	缶	hi:かま
u-cjk/7f50	罐	hi:かま
u-cjk/9475	鑵	hi:かま
u-cjk/7f36	缶	hg:부
u-cjk/7f50	罐	hg:관
u-cjk/9475	鑵	hg:관
u-cjk/7f36	缶	gloss:earthen crock or jar
u-cjk/7f50	罐	gloss:jar, jug, pitcher, pot
u-cjk/9475	鑵	gloss:jar; can

@glyphs	旁傍
u-cjk/65c1	旁	py:páng, bàng
u-cjk/508d	傍	py:bàng, bāng
u-cjk/65c1	旁	ka:ボウ, ホウ
u-cjk/508d	傍	ka:ボウ
u-cjk/65c1	旁	hi:つくり, かたがた, かたわら
u-cjk/508d	傍	hi:かたわ·ら, わき, おか, はた, そば
u-cjk/65c1	旁	hg:방, 팽
u-cjk/508d	傍	hg:방, 팽
u-cjk/65c1	旁	gloss:side; by side, close by, near
u-cjk/508d	傍	gloss:by side of, beside, near, close

@glyphs	蕓芸藝艺
u-cjk/8553	蕓	py:yún
u-cjk/82b8	芸	py:yún
u-cjk/85dd	藝	py:yì
u-cjk/827a	艺	py:yì
u-cjk/8553	蕓	ka:ウン
u-cjk/82b8	芸	ka:ゲイ, ウン
u-cjk/85dd	藝	ka:ゲイ
u-cjk/8553	蕓	hi:あぶらな
u-cjk/82b8	芸	hi:う·える, のり, わざ
u-cjk/85dd	藝	hi:う·える, のり, わざ
u-cjk/8553	蕓	hg:운
u-cjk/82b8	芸	hg:운, 예
u-cjk/85dd	藝	hg:예
u-cjk/8553	蕓	gloss:rue, a fragrant herb
u-cjk/82b8	芸	gloss:Ⓒ rue, a fragrant herb. Ⓙ art
u-cjk/85dd	藝	gloss:art; talent, ability; craft
u-cjk/827a	艺	gloss:art; talent, ability; craft

@glyphs	予
u-cjk/4e88	予	py:yú, yǔ
u-cjk/4e88	予	ka:ヨ
u-cjk/4e88	予	hi:あらかじ·め
u-cjk/4e88	予	hg:여
u-cjk/4e88	予	gloss:I, me; to give

@glyphs	豫預预
u-cjk/8c6b	豫	py:yù
u-cjk/9810	預	py:yù
u-cjk/9884	预	py:yù
u-cjk/8c6b	豫	ka:ヨ, シャ
u-cjk/9810	預	ka:ヨ
u-cjk/8c6b	豫	hi:あらかじ·め
u-cjk/9810	預	hi:あず·(ける|かる)
u-cjk/8c6b	豫	hg:예
u-cjk/9810	預	hg:예
u-cjk/8c6b	豫	gloss:pleased; comfort; Ⓒ in advance
u-cjk/9810	預	gloss:in advance; participate; Ⓙ deposit
u-cjk/9884	预	gloss:in advance; participate; Ⓙ deposit

#------------------------------------------------------------------------------------------------------------
# 和製漢字

@glyphs	垰
u-cjk/57b0	垰	hi:たわ, とうげ, たお, あくつ
u-cjk/57b0	垰	gloss:Ⓙ mountain pass

@glyphs	綛
u-cjk/7d9b	綛	hi:かせ, かすり
u-cjk/7d9b	綛	hg:이
u-cjk/7d9b	綛	gloss:splashed dye pattern; reel; skein

#------------------------------------------------------------------------------------------------------------
# 多音節字

@glyphs	兞
u-cjk/515e	兞	py:máo(kè)
u-cjk/515e	兞	gloss:milligram

@glyphs	兙
u-cjk/5159	兙	py:shí(kè)
u-cjk/5159	兙	hg:십
u-cjk/5159	兙	gloss:decagram

@glyphs	兣
u-cjk/5163	兣	py:lǐ(kè)
u-cjk/5163	兣	gloss:decigram; centigram

@glyphs	兛
u-cjk/515b	兛	py:qiān(kè)
u-cjk/515b	兛	hg:천
u-cjk/515b	兛	gloss:kilogram

@glyphs	兝
u-cjk/515d	兝	py:fēn(kè)
u-cjk/515d	兝	gloss:decigram

@glyphs	浬
u-cjk/6d6c	浬	py:(hǎi)lǐ
u-cjk/6d6c	浬	ka:リ
u-cjk/6d6c	浬	hi:かいり, のっと
u-cjk/6d6c	浬	hg:리
u-cjk/6d6c	浬	gloss:nautical mile

@glyphs	圕
u-cjk/5715	圕	py:túshūguǎn
u-cjk/5715	圕	gloss:library (abbreviation for 圖書館)

@glyphs	寸吋
u-cjk/5bf8	寸	py:cùn
u-cjk/540b	吋	py:cùn, yīngcùn
u-cjk/5bf8	寸	ka:スン
u-cjk/540b	吋	ka:トウ, ドウ, スン
u-cjk/5bf8	寸	hi:はかる, とき, き
u-cjk/540b	吋	hi:インチ
u-cjk/5bf8	寸	hg:촌
u-cjk/540b	吋	hg:촌, 두
u-cjk/5bf8	寸	gloss:inch; small, tiny
u-cjk/540b	吋	gloss:English inch

@glyphs	瓩
u-cjk/74e9	瓩	py:qiānwǎ
u-cjk/74e9	瓩	hi:キログラム
u-cjk/74e9	瓩	hg:천
u-cjk/74e9	瓩	gloss:kilowatt; (Japan, obs.) kilogram

#------------------------------------------------------------------------------------------------------------
# 數字

@glyphs	零〇
u-cjk/96f6	零	py:líng
u-cjk/96f6	零	ka:レイ
u-cjk/96f6	零	hi:ぜろ
u-cjk-sym/3007	〇	hi:ぜろ, まる
u-cjk/96f6	零	hg:령, 련
u-cjk/96f6	零	gloss:a drop; fragment; zero
u-cjk-sym/3007	〇	gloss:zero

@glyphs	一弌壹壱
u-cjk/4e00	一	py:yī
u-cjk/4e00	一	ka:イチ, イツ
u-cjk/4e00	一	hi:ひと, ひと·つ
u-cjk/4e00	一	hg:일
u-cjk/5f0c	弌	gloss:number one (large form)
u-cjk/58f9	壹	gloss:number one (large form)
u-cjk/4e00	一	gloss:one; a, an; alone
u-cjk/58f1	壱	gloss:number one (large form)

@glyphs	二貳贰弐
u-cjk/4e8c	二	py:èr
u-cjk/4e8c	二	ka:ニ, ジ
u-cjk/4e8c	二	hi:ふた, ふた·つ, ふたた·び
u-cjk/4e8c	二	hg:이
u-cjk/8cb3	貳	gloss:number two (large form)
u-cjk/4e8c	二	gloss:two
u-cjk/8d30	贰	gloss:number two (large form)
u-cjk/5f10	弐	gloss:number two (large form)

@glyphs	三叁
u-cjk/4e09	三	py:sān
u-cjk/4e09	三	ka:サン
u-cjk/4e09	三	hi:み, み·つ, みっ·つ
u-cjk/4e09	三	hg:삼
u-cjk/53c1	叁	gloss:three (large form)
u-cjk/4e09	三	gloss:three

@glyphs	四肆
u-cjk/56db	四	py:sì
u-cjk/56db	四	ka:シ
u-cjk/8086	肆	hi:つら·ねる, ほしいまま, みせ
u-cjk/56db	四	hi:よ·つ, よっ·つ, よん
u-cjk/56db	四	hg:사
u-cjk/8086	肆	gloss:indulge; excess; four (large form)
u-cjk/56db	四	gloss:four

@glyphs	五伍
u-cjk/4e94	五	py:wǔ
u-cjk/4e94	五	ka:ゴ
u-cjk/4e94	五	hi:いつ·つ
u-cjk/4e94	五	hg:오
u-cjk/4e94	五	gloss:five
u-cjk/4f0d	伍	gloss:five (large form); company of five; troops

@glyphs	六陸陆
u-cjk/516d	六	py:liù, lù
u-cjk/516d	六	ka:ロク, リク
u-cjk/516d	六	hi:む·つ, むっ·つ, むい
u-cjk/516d	六	hg:륙
u-cjk/516d	六	gloss:six
u-cjk/9678	陸	py:lù, liù
u-cjk/9678	陸	ka:リク, ロク
u-cjk/9678	陸	hi:おか
u-cjk/9678	陸	hg:륙
u-cjk/9678	陸	gloss:land, continental; six (large form)

@glyphs	七柒
u-cjk/4e03	七	py:qī
u-cjk/4e03	七	ka:シツ, シチ
u-cjk/4e03	七	hi:なな, なな·つ, なの
u-cjk/4e03	七	hg:칠
u-cjk/4e03	七	gloss:seven
u-cjk/67d2	柒	gloss:seven (large form)

@glyphs	捌八
u-cjk/634c	捌	py:bā, pá
u-cjk/516b	八	py:bā
u-cjk/634c	捌	ka:ハツ, ハチ
u-cjk/516b	八	ka:ハチ
u-cjk/634c	捌	hi:さば·(く|ける)
u-cjk/516b	八	hi:や, や·つ, やっ·つ, よう
u-cjk/634c	捌	hg:팔
u-cjk/516b	八	hg:팔
u-cjk/634c	捌	gloss:cling to; dig up; 8 (large form)
u-cjk/516b	八	gloss:eight

@glyphs	玖九
u-cjk/7396	玖	py:jiǔ
u-cjk/4e5d	九	py:jiǔ
u-cjk/7396	玖	ka:キュウ, ク
u-cjk/4e5d	九	ka:キュウ, ク
u-cjk/4e5d	九	hi:ここの, ここの·つ
u-cjk/7396	玖	hg:구
u-cjk/4e5d	九	hg:구, 규
u-cjk/7396	玖	gloss:black-colored jade; nine (large form)
u-cjk/4e5d	九	gloss:nine

@glyphs	拾十
u-cjk/62fe	拾	py:shí, shè
u-cjk/5341	十	py:shí
u-cjk/62fe	拾	ka:シュウ, ジュウ
u-cjk/5341	十	ka:ジュウ, ジッ, ジュッ
